SALE_ID,SALE_DATE,STORE_CODE,PROD_DESC,QTY,UNIT_PRICE,TOTAL_AMT
LSS0000029,14/07/2025,LS02,TITAN RJ45 CONNECTOR 12-POS,4,167.96,671.84
LSS0000030,16/08/2025,LS03,LAKESIDE STORM TARP 10X12FT,1,9.74,9.74
LSS0000031,29/04/2026,LS03,TITAN CAT6 ETHERNET CABLE 16 AWG 500FT,1,72.19,72.19
LSS0000032,29/10/2025,LS02,MERIDIAN SPLASH GOGGLES SMOKE TINT,5,16.96,84.79
LSS0000033,16/12/2025,LS04,STERLING LEATHER WORK GLOVES BOX 100 (L),3,13.94,41.83
LSS0000034,05/01/2026,LS03,VANGUARD HYDRAULIC ROD SEAL 45X65X10,5,167.81,839.06
LSS0000035,10/02/2026,LS03,ATLAS HYDRAULIC ROD SEAL PTFE 25PC,5,165.65,828.27
LSS0000036,23/12/2025,LS02,ATLAS HYDRAULIC ROD SEAL PTFE 25PC,1,165.52,165.52
LSS0000037,22/01/2026,LS04,STERLING LEATHER WORK GLOVES BOX 100 (XL),5,55.87,279.36
LSS0000038,26/05/2026,LS04,VANGUARD COAXIAL CABLE 305M REEL,1,213.91,213.91
LSS0000039,05/05/2026,LS04,LAKESIDE EXTENSION CORD 25FT,4,21.09,84.34
LSS0000040,18/12/2025,LS01,ATLAS DROP-IN ANCHOR M8,3,171.38,514.13
LSS0000041,24/09/2025,LS04,VANGUARD BRASS BALL VALVE 1IN,6,167.72,1006.31
LSS0000042,26/09/2025,LS01,MERIDIAN DIN CONTACTOR ROLLER LEVER,5,47.66,238.31
LSS0000043,13/11/2025,LS03,STERLING LEATHER WORK GLOVES BOX 100 (L),5,13.86,69.31
LSS0000044,06/11/2025,LS02,LAKESIDE STORM TARP 10X12FT,3,9.81,29.44
LSS0000045,08/03/2026,LS04,VANGUARD MACHINE SCREW #10 X 1-1/2IN,4,71.3,285.2
LSS0000046,02/09/2025,LS02,ATLAS HYDRAULIC ROD SEAL PTFE 25PC,5,167.76,838.8
LSS0000047,18/05/2026,LS02,VANGUARD HEX BOLT 1/4IN X 1IN,6,99.35,596.1
LSS0000048,20/05/2026,LS04,ATLAS DROP-IN ANCHOR M8,2,166.94,333.88
LSS0000049,09/12/2025,LS02,VANGUARD PLASTIC EURO PALLET 42X42IN,4,23.73,94.94
LSS0000050,16/02/2026,LS01,LAKESIDE PRO SHOP TOWELS 12PK,2,39.58,79.16
LSS0000051,22/09/2025,LS04,ATLAS HYDRAULIC CHECK VALVE 24V DC,6,157.74,946.45
LSS0000052,18/04/2026,LS02,VANGUARD BRASS BALL VALVE 1IN,5,170.82,854.1
LSS0000053,20/07/2025,LS02,STERLING LEATHER WORK GLOVES BOX 100 (L),1,13.95,13.95
LSS0000054,18/04/2026,LS01,TITAN IEC POWER CONNECTOR 12-POS,4,129.82,519.26
LSS0000055,09/08/2025,LS01,MERIDIAN CUT-RESISTANT GLOVES PAIR (XL),1,161.5,161.5
LSS0000056,20/01/2026,LS01,ATLAS STRETCH WRAP 24IN ROLL,6,153.75,922.5
LSS0000057,01/12/2025,LS02,LAKESIDE STORM TARP 10X12FT,1,10.01,10.01
LSS0000058,03/08/2025,LS02,MERIDIAN CUT-RESISTANT GLOVES PAIR (L),3,73.19,219.56
LSS0000059,06/01/2026,LS04,TITAN STRETCH WRAP 18IN 1500FT,6,101.82,610.92
LSS0000060,29/07/2025,LS01,LAKESIDE EXTENSION CORD 25FT,2,21.03,42.06
LSS0000061,12/10/2025,LS03,VANGUARD GASKET SET ASSORTED 200PC,1,119.83,119.83
LSS0000062,23/03/2026,LS03,LAKESIDE MOVING BLANKET,4,38.29,153.17
LSS0000063,21/06/2025,LS02,STERLING LEATHER WORK GLOVES BOX 100 (L),4,13.9,55.58
LSS0000064,10/10/2025,LS04,STERLING HEX CAP SCREW M6 X 30MM,4,50.9,203.61
LSS0000065,10/03/2026,LS02,VANGUARD MACHINE SCREW #10 X 1-1/2IN,6,71.66,429.97
LSS0000066,07/03/2026,LS01,MERIDIAN HEAVY-DUTY CARTON 18X18X16IN,3,183.14,549.41
LSS0000067,25/02/2026,LS02,VANGUARD NITRILE GLOVES PAIR (XL),5,15.68,78.42
LSS0000068,28/03/2026,LS02,MERIDIAN CUT-RESISTANT GLOVES PAIR (XL),6,159.32,955.95
LSS0000069,10/01/2026,LS02,MERIDIAN CUT-RESISTANT GLOVES PAIR (L),1,72.35,72.35
LSS0000070,07/01/2026,LS04,MERIDIAN FULL BRIM HARD HAT CLASS G BLUE,4,133.79,535.16
LSS0000071,11/07/2025,LS03,VANGUARD COAXIAL CABLE 305M REEL,2,210.05,420.1
LSS0000072,13/01/2026,LS03,ATLAS HYDRAULIC ROD SEAL PTFE 25PC,5,167.15,835.77
LSS0000073,01/10/2025,LS02,LAKESIDE PRO SHOP TOWELS 12PK,6,39.77,238.6
LSS0000074,14/08/2025,LS03,VANGUARD PLASTIC EURO PALLET 42X42IN,6,23.89,143.36
LSS0000075,22/09/2025,LS04,STERLING LEATHER WORK GLOVES BOX 100 (XL),1,56.57,56.57
LSS0000076,20/01/2026,LS02,LAKESIDE STORM TARP 10X12FT,4,9.92,39.69
LSS0000077,24/09/2025,LS01,TITAN RJ45 CONNECTOR 12-POS,6,167.02,1002.1
LSS0000078,17/08/2025,LS02,VANGUARD BRASS BALL VALVE 1IN,6,169.45,1016.71
LSS0000079,26/09/2025,LS04,ATLAS DROP-IN ANCHOR M8,2,168.21,336.43
LSS0000080,02/11/2025,LS01,STERLING LEATHER WORK GLOVES BOX 100 (XL),3,54.37,163.12
LSS0000081,25/07/2025,LS03,MERIDIAN HEAVY-DUTY CARTON 18X18X16IN,6,182.97,1097.83
LSS0000082,10/08/2025,LS02,VANGUARD GASKET SET ASSORTED 200PC,4,120.04,480.18
LSS0000083,12/01/2026,LS02,LAKESIDE LED SHOP LIGHT 4FT,3,40.42,121.25
LSS0000084,24/09/2025,LS02,ATLAS DROP-IN ANCHOR M8,4,166.23,664.93
LSS0000085,17/04/2026,LS01,STERLING HYDRAULIC HOSE R2 3/8IN X 10M,4,218.44,873.77
LSS0000086,02/12/2025,LS04,LAKESIDE WINTER SALT PELLETS 50LB,6,37.77,226.6
LSS0000087,04/04/2026,LS03,ATLAS HYDRAULIC CHECK VALVE 24V DC,2,159.01,318.01
LSS0000088,14/09/2025,LS04,TITAN IEC POWER CONNECTOR 12-POS,2,134.23,268.46
LSS0000089,30/06/2025,LS03,VANGUARD HYDRAULIC ROD SEAL 45X65X10,4,168.36,673.43
LSS0000090,06/07/2025,LS03,MERIDIAN DIN CONTACTOR ROLLER LEVER,2,46.93,93.86
LSS0000091,04/03/2026,LS04,LAKESIDE WORK GLOVES L,2,37.36,74.73
LSS0000092,10/03/2026,LS03,LAKESIDE LED SHOP LIGHT 4FT,4,39.8,159.19
LSS0000093,21/12/2025,LS04,TITAN TOGGLE SWITCH 25A 3-POLE,1,40.88,40.88
LSS0000094,16/05/2026,LS01,ATLAS STRETCH WRAP 24IN ROLL,1,152.49,152.49
LSS0000095,25/12/2025,LS01,TITAN VENTED SAFETY HELMET CLASS G BLUE,3,25.94,77.82
LSS0000096,21/02/2026,LS03,LAKESIDE STORAGE TOTE 27GAL,3,28.28,84.84
LSS0000097,05/07/2025,LS04,LAKESIDE UTILITY KNIFE 3PK,3,36.65,109.94
LSS0000098,13/04/2026,LS03,TITAN CAT6 ETHERNET CABLE 16 AWG 500FT,3,71.98,215.95
LSS0000099,03/10/2025,LS04,MERIDIAN CUT-RESISTANT GLOVES PAIR (L),5,73.45,367.23
LSS0000100,18/01/2026,LS03,LAKESIDE BUNGEE SET 24PC,6,45.01,270.03
LSS0000101,12/12/2025,LS04,STERLING HYDRAULIC HOSE R2 3/8IN X 10M,1,220.27,220.27
LSS0000102,19/05/2026,LS04,LAKESIDE STORM TARP 10X12FT,3,9.95,29.85
LSS0000103,14/01/2026,LS04,TITAN ROCKER SWITCH 20A,5,366.55,1832.77
LSS0000104,23/01/2026,LS02,VANGUARD COAXIAL CABLE 305M REEL,3,208.74,626.22
LSS0000105,03/07/2025,LS04,STERLING STRETCH WRAP 20IN 5000FT,1,10.56,10.56
LSS0000106,04/09/2025,LS04,LAKESIDE UTILITY KNIFE 3PK,6,36.66,219.96
LSS0000107,11/05/2026,LS02,VANGUARD BRASS BALL VALVE 1IN,3,166.52,499.56
LSS0000108,31/03/2026,LS01,STERLING FLANGE BOLT M12 X 80MM,3,121.25,363.76
LSS0000109,24/06/2025,LS01,MERIDIAN HEAVY-DUTY CARTON 18X18X16IN,6,177.7,1066.22
LSS0000110,04/11/2025,LS03,STERLING NITRILE GLOVES PAIR (M),5,127.35,636.74
LSS0000111,11/12/2025,LS02,ATLAS HYDRAULIC ROD SEAL PTFE 25PC,5,168.22,841.1
LSS0000112,24/03/2026,LS03,STERLING ROCKER SWITCH 15A,6,44.26,265.55
LSS0000113,10/02/2026,LS02,ATLAS DROP-IN ANCHOR M8,5,166.6,833.0
LSS0000114,10/01/2026,LS02,TITAN CARRIAGE BOLT 1/4IN X 1IN,2,142.06,284.13
LSS0000115,24/04/2026,LS04,LAKESIDE WINTER SALT PELLETS 50LB,6,38.04,228.22
LSS0000116,05/12/2025,LS01,VANGUARD BRASS BALL VALVE 3000 PSI,4,241.95,967.8
LSS0000117,18/12/2025,LS04,LAKESIDE EXTENSION CORD 25FT,5,21.32,106.59
LSS0000118,25/06/2025,LS01,STERLING LEATHER WORK GLOVES BOX 100 (XL),2,55.73,111.46
LSS0000119,28/03/2026,LS01,STERLING HYDRAULIC CHECK VALVE 3/4IN,1,228.32,228.32
LSS0000120,25/09/2025,LS02,MERIDIAN DIN CONTACTOR ROLLER LEVER,6,47.13,282.78
LSS0000121,24/04/2026,LS01,TITAN IEC POWER CONNECTOR 12-POS,3,130.8,392.41
LSS0000122,08/10/2025,LS04,LAKESIDE EXTENSION CORD 25FT,5,20.98,104.89
LSS0000123,30/08/2025,LS03,MERIDIAN SPLASH GOGGLES SMOKE TINT,6,17.11,102.67
LSS0000124,11/12/2025,LS03,LAKESIDE STORAGE TOTE 27GAL,1,27.96,27.96
LSS0000125,25/02/2026,LS02,STERLING WOOD SCREW M4 X 20MM,1,61.15,61.15
LSS0000126,30/06/2025,LS01,STERLING FLANGE BOLT M12 X 80MM,6,118.35,710.12
LSS0000127,27/11/2025,LS02,LAKESIDE WORK GLOVES L,3,38.02,114.07
LSS0000128,11/05/2026,LS04,LAKESIDE STORAGE TOTE 27GAL,6,28.21,169.28
LSS0000129,30/03/2026,LS02,STERLING FLANGE BOLT M12 X 80MM,1,118.48,118.48
LSS0000130,16/02/2026,LS04,STERLING LEATHER WORK GLOVES BOX 100 (XL),2,55.3,110.6
LSS0000131,01/12/2025,LS02,STERLING FLANGE BOLT M12 X 80MM,5,119.11,595.56
LSS0000132,02/07/2025,LS02,TITAN CAT6 ETHERNET CABLE 16 AWG 500FT,3,71.52,214.56
LSS0000133,07/06/2025,LS02,VANGUARD MACHINE SCREW #10 X 1-1/2IN,5,70.62,353.08
LSS0000134,24/09/2025,LS01,VANGUARD MACHINE SCREW #10 X 1-1/2IN,6,72.97,437.81
LSS0000135,01/11/2025,LS04,TITAN VENTED SAFETY HELMET CLASS G BLUE,2,25.65,51.3
LSS0000136,06/05/2026,LS01,LAKESIDE WINTER SALT PELLETS 50LB,3,38.43,115.28
LSS0000137,06/06/2025,LS04,LAKESIDE UTILITY KNIFE 3PK,6,37.02,222.15
LSS0000138,30/12/2025,LS04,MERIDIAN HEAVY-DUTY CARTON 18X18X16IN,2,181.38,362.77
LSS0000139,20/04/2026,LS02,LAKESIDE STORAGE TOTE 27GAL,6,28.36,170.17
LSS0000140,13/11/2025,LS02,LAKESIDE UTILITY KNIFE 3PK,3,37.2,111.61
LSS0000141,10/11/2025,LS04,STERLING SOCKET CAP SCREW M4 X 20MM,6,208.88,1253.26
LSS0000142,08/03/2026,LS02,VANGUARD PLASTIC EURO PALLET 42X42IN,5,23.66,118.31
LSS0000143,23/01/2026,LS03,LAKESIDE WORK GLOVES L,1,36.9,36.9
LSS0000144,12/04/2026,LS02,VANGUARD VENTED SAFETY HELMET RATCHET,5,181.43,907.13
LSS0000145,23/07/2025,LS04,ATLAS HYDRAULIC ROD SEAL PTFE 25PC,2,165.71,331.41
LSS0000146,01/07/2025,LS02,LAKESIDE WORK GLOVES L,6,37.41,224.45
LSS0000147,25/05/2026,LS01,TITAN TOGGLE SWITCH 25A 3-POLE,4,41.02,164.07
LSS0000148,16/06/2025,LS03,LAKESIDE EXTENSION CORD 25FT,5,20.92,104.59
LSS0000149,14/11/2025,LS01,STERLING FLANGE BOLT M12 X 80MM,1,121.62,121.62
LSS0000150,20/04/2026,LS04,LAKESIDE STORM TARP 10X12FT,4,9.73,38.92
LSS0000151,06/02/2026,LS04,LAKESIDE MOVING BLANKET,2,38.4,76.8
LSS0000152,26/08/2025,LS04,MERIDIAN HEAVY-DUTY CARTON 18X18X16IN,4,187.09,748.35
LSS0000153,29/01/2026,LS03,VANGUARD WEDGE ANCHOR M12,1,83.49,83.49
LSS0000154,18/08/2025,LS04,MERIDIAN HEAVY-DUTY CARTON 18X18X16IN,4,180.95,723.81
LSS0000155,12/06/2025,LS02,TITAN SAFETY GOGGLES WRAPAROUND,1,10.15,10.15
LSS0000156,09/03/2026,LS01,LAKESIDE BUNGEE SET 24PC,3,44.65,133.94
LSS0000157,26/08/2025,LS01,STERLING ANTI-FOG GOGGLES INDIRECT VENT,1,74.52,74.52
LSS0000158,23/07/2025,LS02,STERLING STRETCH WRAP 20IN 5000FT,4,10.55,42.19
LSS0000159,13/09/2025,LS04,MERIDIAN SPLASH GOGGLES SMOKE TINT,2,17.08,34.15
LSS0000160,12/08/2025,LS03,STERLING HYDRAULIC HOSE R2 3/8IN X 10M,2,217.85,435.7
LSS0000161,03/01/2026,LS03,LAKESIDE MOVING BLANKET,2,38.07,76.15
LSS0000162,04/03/2026,LS04,LAKESIDE BUNGEE SET 24PC,5,43.69,218.47
LSS0000163,04/11/2025,LS01,ATLAS HYDRAULIC CHECK VALVE 24V DC,5,157.1,785.51
LSS0000164,24/10/2025,LS02,VANGUARD MACHINE SCREW #10 X 1-1/2IN,5,71.46,357.28
LSS0000165,22/10/2025,LS04,LAKESIDE UTILITY KNIFE 3PK,1,36.64,36.64
LSS0000166,27/12/2025,LS02,VANGUARD WEDGE ANCHOR M12,5,83.4,416.98
LSS0000167,24/11/2025,LS03,MERIDIAN STRINGER PALLET BLOCK 48X48IN,2,160.07,320.14
LSS0000168,10/11/2025,LS04,MERIDIAN HEAVY-DUTY CARTON 18X18X16IN,3,185.07,555.2
LSS0000169,20/06/2025,LS01,VANGUARD GASKET SET ASSORTED 200PC,1,116.94,116.94
LSS0000170,15/05/2026,LS02,VANGUARD BRASS BALL VALVE 1IN,5,170.82,854.08
LSS0000171,20/12/2025,LS02,TITAN CARRIAGE BOLT 1/4IN X 1IN,3,143.52,430.56
LSS0000172,25/08/2025,LS03,STERLING NITRILE GLOVES PAIR (M),3,125.6,376.8
LSS0000173,30/12/2025,LS02,LAKESIDE STORAGE TOTE 27GAL,2,28.64,57.28
LSS0000174,28/07/2025,LS02,STERLING ROCKER SWITCH 15A,6,44.3,265.8
LSS0000175,16/12/2025,LS02,LAKESIDE STORAGE TOTE 27GAL,3,28.34,85.02
LSS0000176,15/10/2025,LS03,TITAN TOGGLE SWITCH 25A 3-POLE,5,41.05,205.24
LSS0000177,14/04/2026,LS02,TITAN CARRIAGE BOLT 1/4IN X 1IN,5,144.14,720.71
LSS0000178,05/01/2026,LS01,LAKESIDE WORK GLOVES L,5,37.9,189.48
LSS0000179,15/02/2026,LS03,STERLING HYDRAULIC HOSE R2 3/8IN X 10M,5,216.46,1082.28
LSS0000180,04/10/2025,LS04,LAKESIDE LED SHOP LIGHT 4FT,1,40.21,40.21
LSS0000181,12/03/2026,LS02,TITAN CAT6 ETHERNET CABLE 16 AWG 500FT,3,71.86,215.57
LSS0000182,28/03/2026,LS02,LAKESIDE STORAGE TOTE 27GAL,2,28.26,56.53
LSS0000183,05/03/2026,LS04,LAKESIDE STORM TARP 10X12FT,1,9.74,9.74
LSS0000184,13/03/2026,LS03,ATLAS HYDRAULIC ROD SEAL PTFE 25PC,3,167.12,501.37
LSS0000185,04/08/2025,LS04,TITAN RJ45 CONNECTOR 12-POS,2,170.01,340.01
LSS0000186,04/07/2025,LS04,VANGUARD BRASS BALL VALVE 3000 PSI,5,242.13,1210.63
LSS0000187,12/07/2025,LS04,MERIDIAN SPLASH GOGGLES SMOKE TINT,5,17.25,86.23
LSS0000188,22/09/2025,LS01,LAKESIDE PRO SHOP TOWELS 12PK,1,39.66,39.66
LSS0000189,23/01/2026,LS04,STERLING SHRINK FILM 2MIL 10FT,6,111.21,667.25
LSS0000190,14/12/2025,LS01,TITAN SAFETY GOGGLES WRAPAROUND,2,10.05,20.1
LSS0000191,27/01/2026,LS02,VANGUARD GASKET SET 35X52X7,2,186.96,373.93
LSS0000192,29/07/2025,LS02,LAKESIDE BUNGEE SET 24PC,6,44.07,264.41
LSS0000193,15/05/2026,LS04,TITAN SAFETY GOGGLES WRAPAROUND,1,10.41,10.41
LSS0000194,30/09/2025,LS04,MERIDIAN SPLASH GOGGLES SMOKE TINT,5,16.89,84.44
LSS0000195,04/05/2026,LS02,ATLAS HYDRAULIC CHECK VALVE 24V DC,1,155.84,155.84
LSS0000196,10/02/2026,LS03,LAKESIDE STORAGE TOTE 27GAL,5,28.55,142.74
LSS0000197,06/01/2026,LS02,MERIDIAN DIN CONTACTOR ROLLER LEVER,1,46.09,46.09
LSS0000198,29/05/2026,LS01,TITAN CARRIAGE BOLT 1/4IN X 1IN,5,146.58,732.91
LSS0000199,05/04/2026,LS04,LAKESIDE UTILITY KNIFE 3PK,6,36.97,221.84
LSS0000200,11/11/2025,LS04,STERLING ROCKER SWITCH 15A,5,44.21,221.04
LSS0000201,12/01/2026,LS04,MERIDIAN STRINGER PALLET BLOCK 48X48IN,1,161.43,161.43
LSS0000202,02/08/2025,LS03,STERLING HEX CAP SCREW M6 X 30MM,2,51.69,103.37
LSS0000203,13/09/2025,LS02,TITAN CAT6 ETHERNET CABLE 16 AWG 500FT,1,71.37,71.37
LSS0000204,14/09/2025,LS04,LAKESIDE BUNGEE SET 24PC,6,44.08,264.51
LSS0000205,05/08/2025,LS04,MERIDIAN SPLASH GOGGLES SMOKE TINT,2,17.26,34.51
LSS0000206,26/12/2025,LS03,LAKESIDE MOVING BLANKET,2,38.12,76.25
LSS0000207,12/08/2025,LS03,TITAN VENTED SAFETY HELMET CLASS G BLUE,5,25.87,129.34
LSS0000208,02/10/2025,LS03,STERLING LEATHER WORK GLOVES BOX 100 (L),3,13.8,41.4
LSS0000209,10/10/2025,LS03,VANGUARD MACHINE SCREW #10 X 1-1/2IN,4,71.17,284.7
LSS0000210,25/04/2026,LS01,STERLING ANTI-FOG GOGGLES INDIRECT VENT,2,72.18,144.36
LSS0000211,24/11/2025,LS03,LAKESIDE PRO SHOP TOWELS 12PK,6,39.78,238.69
LSS0000212,05/01/2026,LS02,LAKESIDE WINTER SALT PELLETS 50LB,3,38.54,115.62
LSS0000213,20/01/2026,LS02,ATLAS HYDRAULIC ROD SEAL PTFE 25PC,1,169.38,169.38
LSS0000214,26/07/2025,LS02,ATLAS SHAFT SEAL 35X52X7,2,93.67,187.34
LSS0000215,22/04/2026,LS04,LAKESIDE MOVING BLANKET,1,38.02,38.02
LSS0000216,20/02/2026,LS04,LAKESIDE UTILITY KNIFE 3PK,3,36.94,110.83
LSS0000217,30/11/2025,LS02,LAKESIDE UTILITY KNIFE 3PK,2,36.9,73.8
LSS0000218,10/12/2025,LS03,MERIDIAN HEAVY-DUTY CARTON 18X18X16IN,2,184.67,369.34
LSS0000219,09/12/2025,LS02,VANGUARD WEDGE ANCHOR M12,4,83.44,333.77
LSS0000220,20/01/2026,LS01,VANGUARD BRASS BALL VALVE 1IN,5,170.02,850.08
LSS0000221,29/08/2025,LS03,TITAN IEC POWER CONNECTOR 12-POS,4,132.67,530.69
LSS0000222,14/08/2025,LS04,STERLING HYDRAULIC CHECK VALVE 3/4IN,5,226.68,1133.42
LSS0000223,14/12/2025,LS01,STERLING FLANGE BOLT M12 X 80MM,3,118.13,354.39
LSS0000224,03/11/2025,LS01,MERIDIAN STRINGER PALLET BLOCK 48X48IN,3,160.41,481.22
LSS0000225,27/03/2026,LS03,LAKESIDE PRO SHOP TOWELS 12PK,5,40.36,201.78
LSS0000226,14/01/2026,LS04,LAKESIDE WINTER SALT PELLETS 50LB,3,38.28,114.83
LSS0000227,14/04/2026,LS04,LAKESIDE WINTER SALT PELLETS 50LB,5,37.95,189.73
LSS0000228,11/01/2026,LS01,STERLING HYDRAULIC HOSE R2 3/8IN X 10M,5,222.17,1110.86
LSS0000229,22/12/2025,LS02,STERLING NITRILE GLOVES PAIR (M),3,126.85,380.56
LSS0000230,25/01/2026,LS03,STERLING ANTI-FOG GOGGLES INDIRECT VENT,5,73.61,368.07
LSS0000231,25/08/2025,LS04,TITAN VENTED SAFETY HELMET CLASS G BLUE,5,26.01,130.05
LSS0000232,05/06/2025,LS02,TITAN CAT6 ETHERNET CABLE 16 AWG 500FT,1,71.06,71.06
LSS0000233,13/04/2026,LS02,TITAN IEC POWER CONNECTOR 12-POS,4,131.33,525.32
LSS0000234,08/06/2025,LS03,STERLING LEATHER WORK GLOVES BOX 100 (XL),6,56.04,336.24
LSS0000235,06/12/2025,LS04,STERLING HYDRAULIC HOSE R2 3/8IN X 10M,4,221.39,885.55
LSS0000236,24/04/2026,LS04,LAKESIDE BUNGEE SET 24PC,3,44.91,134.72
LSS0000237,29/10/2025,LS02,LAKESIDE WORK GLOVES L,3,38.07,114.2
LSS0000238,14/10/2025,LS02,STERLING WOOD SCREW M4 X 20MM,2,60.31,120.61
LSS0000239,12/07/2025,LS02,TITAN CAT6 ETHERNET CABLE 16 AWG 500FT,6,70.71,424.28
LSS0000240,15/09/2025,LS04,MERIDIAN STRINGER PALLET BLOCK 48X48IN,1,159.33,159.33
LSS0000241,15/06/2025,LS02,ATLAS DROP-IN ANCHOR M8,1,170.95,170.95
LSS0000242,30/03/2026,LS02,MERIDIAN CUT-RESISTANT GLOVES PAIR (XL),6,161.04,966.22
LSS0000243,11/01/2026,LS03,VANGUARD HYDRAULIC ROD SEAL 45X65X10,6,170.77,1024.65
LSS0000244,11/08/2025,LS01,STERLING FLANGE BOLT M12 X 80MM,1,118.55,118.55
LSS0000245,17/03/2026,LS02,MERIDIAN SPLASH GOGGLES SMOKE TINT,5,16.94,84.69
LSS0000246,07/05/2026,LS04,VANGUARD GASKET SET ASSORTED 200PC,2,118.47,236.94
LSS0000247,21/04/2026,LS02,TITAN IEC POWER CONNECTOR 12-POS,2,131.79,263.59
LSS0000248,04/10/2025,LS03,STERLING LEATHER WORK GLOVES BOX 100 (XL),4,56.3,225.19
LSS0000249,22/08/2025,LS04,MERIDIAN STRINGER PALLET BLOCK 48X48IN,1,159.93,159.93
LSS0000250,07/12/2025,LS04,TITAN ROCKER SWITCH 20A,2,367.22,734.45
LSS0000251,20/10/2025,LS03,LAKESIDE STORAGE TOTE 27GAL,6,27.79,166.74
LSS0000252,26/10/2025,LS04,VANGUARD HYDRAULIC ROD SEAL 45X65X10,6,169.76,1018.57
LSS0000253,03/01/2026,LS02,LAKESIDE WINTER SALT PELLETS 50LB,6,38.24,229.43
LSS0000254,21/10/2025,LS03,VANGUARD COAXIAL CABLE 305M REEL,5,212.0,1059.99
LSS0000255,03/06/2025,LS01,ATLAS SHAFT SEAL 35X52X7,2,93.68,187.36
LSS0000256,17/11/2025,LS02,VANGUARD PLASTIC EURO PALLET 42X42IN,3,23.63,70.88
LSS0000257,06/02/2026,LS02,LAKESIDE STORM TARP 10X12FT,5,9.99,49.94
LSS0000258,31/03/2026,LS04,STERLING LEATHER WORK GLOVES BOX 100 (L),6,13.76,82.58
LSS0000259,10/06/2025,LS02,STERLING LEATHER WORK GLOVES BOX 100 (L),1,13.95,13.95
LSS0000260,07/08/2025,LS01,ATLAS O-RING KIT 45X65X10,1,111.1,111.1
LSS0000261,13/07/2025,LS02,MERIDIAN STRINGER PALLET BLOCK 48X48IN,6,160.39,962.34
LSS0000262,04/01/2026,LS02,ATLAS HYDRAULIC ROD SEAL PTFE 25PC,1,166.26,166.26
LSS0000263,25/07/2025,LS02,VANGUARD MACHINE SCREW #10 X 1-1/2IN,1,72.2,72.2
LSS0000264,21/07/2025,LS02,MERIDIAN CUT-RESISTANT GLOVES PAIR (XL),4,161.5,646.01
LSS0000265,28/09/2025,LS02,LAKESIDE BUNGEE SET 24PC,6,43.74,262.41
