mmOrderId,orderDate,listingId,qty,grossAmount,buyerState
MM-7000123,2025-08-12,ML-200064,2,395.94,IL
MM-7000124,2026-02-19,ML-200005,4,288.7,FL
MM-7000125,2025-07-08,ML-200031,1,31.27,CA
MM-7000126,2026-01-28,ML-200021,2,601.16,TX
MM-7000127,2026-01-21,ML-200062,2,144.91,PA
MM-7000128,2026-03-14,ML-200075,2,286.94,WA
MM-7000129,2025-06-23,ML-200087,4,40.67,TX
MM-7000130,2026-01-28,ML-200028,3,647.23,WA
MM-7000131,2025-11-24,ML-200025,3,514.04,GA
MM-7000132,2026-05-06,ML-200006,2,32.5,FL
MM-7000133,2026-01-19,ML-200049,2,642.06,NJ
MM-7000134,2025-06-02,ML-200076,1,76.11,FL
MM-7000135,2025-12-16,ML-200028,4,854.04,CA
MM-7000136,2025-11-04,ML-200032,4,632.39,TX
MM-7000137,2025-11-01,ML-200049,2,656.73,NY
MM-7000138,2025-12-16,ML-200023,4,611.01,CA
MM-7000139,2025-08-03,ML-200031,3,94.96,WA
MM-7000140,2026-03-21,ML-200015,4,1020.63,IL
MM-7000141,2025-12-09,ML-200064,3,589.39,OH
MM-7000142,2026-01-20,ML-200040,1,80.74,PA
MM-7000143,2026-02-13,ML-200081,3,532.62,NY
MM-7000144,2026-01-17,ML-200049,3,1011.13,NY
MM-7000145,2025-10-21,ML-200018,2,52.68,WA
MM-7000146,2025-06-01,ML-200033,2,747.47,WA
MM-7000147,2026-05-10,ML-200067,2,203.44,WA
MM-7000148,2025-07-26,ML-200037,4,1104.47,GA
MM-7000149,2025-12-07,ML-200071,1,103.26,WA
MM-7000150,2025-06-13,ML-200004,2,472.0,TX
MM-7000151,2025-09-26,ML-200016,3,707.13,GA
MM-7000152,2025-08-09,ML-200004,4,967.75,WA
MM-7000153,2025-09-16,ML-200011,3,571.74,PA
MM-7000154,2026-02-21,ML-200062,1,73.12,TX
MM-7000155,2025-06-19,ML-200054,3,65.84,WA
MM-7000156,2025-10-12,ML-200082,1,73.39,NY
MM-7000157,2026-05-16,ML-200008,4,67.38,PA
MM-7000158,2025-07-24,ML-200074,1,24.07,PA
MM-7000159,2025-10-29,ML-200072,1,79.77,CA
MM-7000160,2025-12-31,ML-200083,2,85.36,NJ
MM-7000161,2026-01-10,ML-200035,3,415.92,NJ
MM-7000162,2025-08-13,ML-200027,4,707.78,CA
MM-7000163,2025-08-13,ML-200001,4,1296.89,TX
MM-7000164,2025-08-04,ML-200090,2,98.19,GA
MM-7000165,2025-08-06,ML-200025,4,700.27,OH
MM-7000166,2025-06-07,ML-200066,2,231.79,FL
MM-7000167,2026-05-14,ML-200047,2,622.39,GA
MM-7000168,2025-07-25,ML-200079,2,94.53,IL
MM-7000169,2026-04-04,ML-200067,3,296.72,FL
MM-7000170,2025-10-16,ML-200097,3,63.2,GA
MM-7000171,2026-05-07,ML-200009,2,269.03,NY
MM-7000172,2026-05-18,ML-200019,2,234.59,IL
MM-7000173,2025-10-02,ML-200022,1,115.0,CA
MM-7000174,2026-03-25,ML-200052,3,74.18,OH
MM-7000175,2025-12-11,ML-200020,3,229.03,GA
MM-7000176,2025-09-11,ML-200089,4,437.2,TX
MM-7000177,2025-09-23,ML-200020,3,228.85,TX
MM-7000178,2025-10-28,ML-200057,2,430.71,IL
MM-7000179,2025-07-28,ML-200020,4,302.86,CA
MM-7000180,2025-06-03,ML-200054,2,42.99,GA
MM-7000181,2025-08-05,ML-200039,1,42.18,WA
MM-7000182,2025-06-25,ML-200027,4,734.12,TX
MM-7000183,2025-11-23,ML-200097,2,42.19,WA
MM-7000184,2026-01-26,ML-200044,4,974.39,CA
MM-7000185,2026-03-22,ML-200009,3,419.43,CA
MM-7000186,2025-10-29,ML-200087,2,19.73,FL
MM-7000187,2025-11-16,ML-200023,2,305.78,GA
MM-7000188,2025-09-11,ML-200075,2,288.89,PA
MM-7000189,2026-04-02,ML-200005,1,72.06,IL
MM-7000190,2025-12-02,ML-200035,1,134.58,NY
MM-7000191,2025-08-18,ML-200014,2,186.54,NY
MM-7000192,2025-08-26,ML-200047,4,1226.93,NJ
MM-7000193,2026-03-02,ML-200022,2,232.47,PA
MM-7000194,2025-12-12,ML-200085,2,544.18,PA
MM-7000195,2026-03-14,ML-200031,1,32.18,WA
MM-7000196,2025-12-27,ML-200076,3,228.81,TX
MM-7000197,2025-10-07,ML-200049,1,333.58,PA
MM-7000198,2026-03-06,ML-200073,1,176.35,PA
MM-7000199,2025-11-05,ML-200023,2,302.26,WA
MM-7000200,2026-05-06,ML-200056,3,705.19,WA
MM-7000201,2025-12-09,ML-200067,4,415.17,IL
MM-7000202,2025-11-28,ML-200079,4,189.25,NJ
MM-7000203,2026-05-01,ML-200084,2,124.67,PA
MM-7000204,2025-07-24,ML-200061,1,179.13,FL
MM-7000205,2025-09-23,ML-200053,1,260.29,TX
MM-7000206,2026-04-08,ML-200055,2,120.93,NJ
MM-7000207,2026-03-25,ML-200024,1,27.93,NJ
MM-7000208,2025-12-07,ML-200076,1,76.07,NY
MM-7000209,2025-08-17,ML-200029,3,58.41,GA
MM-7000210,2026-03-17,ML-200006,1,15.84,GA
MM-7000211,2025-11-01,ML-200033,3,1046.91,OH
MM-7000212,2026-01-25,ML-200053,4,1036.12,WA
MM-7000213,2026-02-16,ML-200059,4,715.59,OH
MM-7000214,2026-04-01,ML-200088,1,174.01,NY
MM-7000215,2025-10-27,ML-200036,2,70.16,OH
MM-7000216,2026-03-28,ML-200083,3,130.91,TX
MM-7000217,2026-01-05,ML-200044,2,486.13,WA
MM-7000218,2025-09-11,ML-200097,1,20.72,NY
MM-7000219,2025-12-28,ML-200066,2,234.12,WA
MM-7000220,2025-07-11,ML-200082,1,72.61,TX
MM-7000221,2025-11-15,ML-200064,3,601.98,NY
MM-7000222,2025-08-03,ML-200042,2,215.63,CA
MM-7000223,2026-02-21,ML-200037,1,272.95,TX
MM-7000224,2026-05-31,ML-200060,2,426.24,CA
MM-7000225,2026-01-30,ML-200038,4,433.11,IL
MM-7000226,2026-05-10,ML-200097,3,62.99,NY
MM-7000227,2025-12-15,ML-200015,4,1009.01,GA
MM-7000228,2025-11-18,ML-200051,3,1086.29,NJ
MM-7000229,2025-10-09,ML-200039,2,83.25,NY
MM-7000230,2025-10-07,ML-200067,1,103.22,OH
MM-7000231,2026-05-26,ML-200094,4,120.39,FL
MM-7000232,2025-07-09,ML-200029,3,60.38,PA
MM-7000233,2025-10-20,ML-200090,1,48.41,IL
MM-7000234,2025-08-28,ML-200067,3,314.53,TX
MM-7000235,2025-11-26,ML-200002,1,155.73,WA
MM-7000236,2026-03-06,ML-200052,4,98.82,OH
MM-7000237,2025-10-18,ML-200055,3,175.65,PA
MM-7000238,2026-04-15,ML-200018,2,52.81,NJ
MM-7000239,2025-11-29,ML-200023,2,301.57,OH
MM-7000240,2025-08-29,ML-200095,4,205.66,PA
MM-7000241,2026-01-06,ML-200036,3,104.04,CA
MM-7000242,2025-09-21,ML-200084,1,61.09,NY
MM-7000243,2025-06-09,ML-200038,4,431.82,IL
MM-7000244,2026-01-27,ML-200089,3,318.39,OH
MM-7000245,2025-10-18,ML-200042,1,105.36,IL
MM-7000246,2025-12-06,ML-200059,3,535.23,TX
MM-7000247,2026-04-13,ML-200024,3,83.8,OH
MM-7000248,2025-09-04,ML-200036,2,71.69,GA
MM-7000249,2025-10-22,ML-200007,3,603.15,FL
MM-7000250,2026-03-11,ML-200012,2,273.78,NJ
MM-7000251,2026-04-17,ML-200087,4,39.55,IL
MM-7000252,2026-01-15,ML-200060,1,207.69,WA
MM-7000253,2026-01-16,ML-200037,4,1101.35,GA
MM-7000254,2025-08-03,ML-200083,3,130.99,FL
MM-7000255,2026-01-19,ML-200031,3,94.89,CA
MM-7000256,2025-12-13,ML-200063,1,127.72,PA
MM-7000257,2026-05-06,ML-200097,3,64.0,GA
MM-7000258,2026-01-15,ML-200008,1,17.11,NJ
MM-7000259,2026-05-26,ML-200011,1,189.79,TX
MM-7000260,2025-06-17,ML-200029,2,40.23,CA
MM-7000261,2025-07-31,ML-200097,3,64.3,CA
MM-7000262,2025-11-02,ML-200042,4,424.08,CA
MM-7000263,2025-10-21,ML-200024,1,27.22,TX
MM-7000264,2025-06-07,ML-200053,3,767.81,FL
MM-7000265,2025-12-20,ML-200003,4,533.31,NY
MM-7000266,2025-11-28,ML-200054,3,64.65,OH
MM-7000267,2025-08-21,ML-200053,4,1051.38,PA
MM-7000268,2026-05-02,ML-200029,2,40.29,NJ
MM-7000269,2026-02-25,ML-200055,4,238.65,OH
MM-7000270,2026-03-22,ML-200087,3,29.93,WA
MM-7000271,2026-04-28,ML-200070,4,633.99,OH
MM-7000272,2026-02-25,ML-200042,3,317.58,IL
MM-7000273,2025-06-04,ML-200004,1,243.6,NY
MM-7000274,2026-04-29,ML-200097,4,85.62,FL
MM-7000275,2026-01-19,ML-200040,4,318.66,OH
MM-7000276,2026-04-16,ML-200064,3,584.5,FL
MM-7000277,2026-03-13,ML-200062,1,71.02,OH
MM-7000278,2025-11-24,ML-200051,4,1468.73,PA
MM-7000279,2026-05-10,ML-200070,1,161.32,CA
MM-7000280,2026-05-15,ML-200050,2,21.05,FL
MM-7000281,2026-04-17,ML-200076,1,77.53,OH
MM-7000282,2025-09-22,ML-200033,1,364.64,IL
MM-7000283,2026-02-21,ML-200006,1,15.89,PA
MM-7000284,2026-05-20,ML-200007,2,398.83,GA
MM-7000285,2026-04-01,ML-200071,1,105.25,PA
MM-7000286,2025-10-07,ML-200037,2,543.74,OH
MM-7000287,2026-01-27,ML-200004,4,970.07,GA
MM-7000288,2025-12-19,ML-200009,2,281.66,TX
MM-7000289,2025-11-09,ML-200005,1,73.85,WA
MM-7000290,2026-01-04,ML-200053,1,265.39,GA
MM-7000291,2026-01-23,ML-200011,4,760.0,PA
MM-7000292,2026-03-13,ML-200010,3,391.44,PA
MM-7000293,2025-10-16,ML-200042,1,106.96,CA
MM-7000294,2025-07-16,ML-200039,4,165.31,GA
MM-7000295,2025-11-27,ML-200089,1,107.37,WA
MM-7000296,2026-01-24,ML-200015,4,1036.32,FL
MM-7000297,2025-11-29,ML-200015,3,770.55,OH
MM-7000298,2026-02-23,ML-200026,3,819.22,GA
MM-7000299,2026-04-08,ML-200029,1,19.29,NY
MM-7000300,2026-03-01,ML-200089,2,212.91,OH
MM-7000301,2025-11-22,ML-200054,4,85.26,FL
MM-7000302,2025-11-24,ML-200013,3,231.11,IL
MM-7000303,2025-10-17,ML-200048,3,527.37,PA
MM-7000304,2025-11-29,ML-200085,2,540.85,PA
MM-7000305,2026-03-13,ML-200028,4,869.7,NY
MM-7000306,2025-10-22,ML-200033,2,735.96,CA
MM-7000307,2025-06-21,ML-200071,3,317.09,OH
MM-7000308,2025-09-22,ML-200023,1,152.17,GA
MM-7000309,2026-05-26,ML-200063,3,384.83,NJ
MM-7000310,2026-03-16,ML-200070,1,161.31,PA
MM-7000311,2025-09-29,ML-200012,4,549.37,NY
MM-7000312,2026-04-21,ML-200031,2,63.69,FL
MM-7000313,2025-09-07,ML-200024,4,107.4,IL
MM-7000314,2026-04-19,ML-200035,4,564.38,FL
MM-7000315,2026-01-31,ML-200048,2,338.6,TX
MM-7000316,2025-06-30,ML-200009,2,284.37,PA
MM-7000317,2026-04-01,ML-200008,4,67.2,NY
MM-7000318,2026-01-09,ML-200010,3,391.8,OH
MM-7000319,2025-12-29,ML-200077,1,77.05,WA
MM-7000320,2025-08-07,ML-200051,4,1388.95,CA
MM-7000321,2026-02-16,ML-200064,1,195.63,GA
MM-7000322,2026-01-06,ML-200084,4,248.92,IL
MM-7000323,2026-05-03,ML-200082,4,300.91,TX
MM-7000324,2025-09-17,ML-200029,2,40.41,NY
MM-7000325,2026-01-19,ML-200083,1,42.8,IL
MM-7000326,2025-07-18,ML-200099,2,68.64,GA
MM-7000327,2026-01-20,ML-200064,3,587.79,NY
MM-7000328,2026-05-05,ML-200031,2,62.13,CA
MM-7000329,2025-12-12,ML-200097,4,84.22,WA
MM-7000330,2025-07-13,ML-200067,3,304.17,GA
MM-7000331,2026-04-07,ML-200094,3,90.21,TX
MM-7000332,2025-08-27,ML-200044,1,249.54,GA
MM-7000333,2025-06-04,ML-200092,3,866.92,CA
MM-7000334,2025-11-22,ML-200061,4,734.79,NY
MM-7000335,2025-12-12,ML-200003,3,409.39,NY
MM-7000336,2025-10-21,ML-200053,1,257.51,WA
MM-7000337,2026-05-14,ML-200002,4,612.18,PA
MM-7000338,2026-05-08,ML-200029,4,79.59,GA
MM-7000339,2025-07-07,ML-200069,3,331.79,FL
MM-7000340,2026-05-06,ML-200063,2,246.05,TX
MM-7000341,2025-09-30,ML-200027,2,349.83,TX
MM-7000342,2025-08-01,ML-200025,4,676.37,TX
MM-7000343,2026-02-15,ML-200042,4,431.83,FL
MM-7000344,2026-01-13,ML-200076,1,75.59,NJ
MM-7000345,2025-06-01,ML-200067,1,102.64,NY
MM-7000346,2026-05-26,ML-200012,3,404.29,NY
MM-7000347,2025-06-07,ML-200026,3,832.14,CA
MM-7000348,2026-04-18,ML-200090,3,147.94,TX
MM-7000349,2025-10-24,ML-200026,3,806.0,PA
MM-7000350,2025-06-16,ML-200040,2,162.82,PA
MM-7000351,2025-11-02,ML-200045,4,433.97,OH
MM-7000352,2025-10-19,ML-200035,1,144.39,CA
MM-7000353,2025-09-19,ML-200055,4,237.84,PA
MM-7000354,2026-04-28,ML-200055,4,237.03,NJ
MM-7000355,2026-04-13,ML-200073,4,703.55,PA
MM-7000356,2026-05-29,ML-200005,4,286.5,WA
MM-7000357,2026-03-27,ML-200021,3,898.82,GA
MM-7000358,2026-05-11,ML-200085,2,542.72,PA
MM-7000359,2026-02-23,ML-200063,3,365.96,GA
MM-7000360,2025-11-08,ML-200008,2,33.9,NY
MM-7000361,2026-05-06,ML-200036,1,34.65,FL
MM-7000362,2026-01-18,ML-200090,2,94.8,GA
MM-7000363,2026-01-09,ML-200046,2,70.89,PA
MM-7000364,2025-07-08,ML-200086,2,98.45,PA
MM-7000365,2026-03-28,ML-200035,1,139.84,IL
MM-7000366,2025-08-23,ML-200010,4,516.01,NJ
MM-7000367,2025-10-17,ML-200085,2,556.32,NY
MM-7000368,2025-11-19,ML-200059,3,550.11,OH
MM-7000369,2025-12-12,ML-200088,3,510.68,NJ
MM-7000370,2025-07-31,ML-200057,1,211.18,IL
MM-7000371,2026-04-18,ML-200026,3,841.35,PA
MM-7000372,2026-02-15,ML-200038,4,437.69,NJ
MM-7000373,2026-03-01,ML-200040,3,240.84,PA
MM-7000374,2025-08-14,ML-200065,1,172.84,TX
MM-7000375,2026-05-19,ML-200049,1,330.47,OH
MM-7000376,2025-11-09,ML-200026,2,560.35,WA
MM-7000377,2025-11-09,ML-200085,3,823.02,FL
MM-7000378,2026-04-22,ML-200011,3,578.0,FL
MM-7000379,2025-08-06,ML-200026,2,542.09,PA
MM-7000380,2025-10-27,ML-200079,3,141.04,CA
MM-7000381,2026-03-13,ML-200025,3,531.82,OH
MM-7000382,2025-06-03,ML-200028,3,649.24,FL
MM-7000383,2026-05-22,ML-200039,1,41.15,IL
MM-7000384,2025-06-23,ML-200063,1,122.01,CA
MM-7000385,2026-01-20,ML-200007,2,399.34,IL
MM-7000386,2025-10-08,ML-200036,2,67.46,NJ
MM-7000387,2025-07-07,ML-200083,3,131.11,NY
MM-7000388,2025-08-10,ML-200009,3,409.98,GA
MM-7000389,2025-12-09,ML-200085,3,819.97,GA
MM-7000390,2026-03-21,ML-200058,1,80.54,OH
MM-7000391,2025-09-13,ML-200051,3,1073.31,FL
MM-7000392,2025-10-10,ML-200077,1,76.3,NJ
MM-7000393,2025-06-25,ML-200080,3,253.71,IL
MM-7000394,2026-04-15,ML-200055,4,241.13,GA
MM-7000395,2026-02-11,ML-200047,1,307.26,IL
MM-7000396,2026-04-01,ML-200054,1,21.79,OH
MM-7000397,2025-06-09,ML-200086,2,99.91,GA
MM-7000398,2025-12-21,ML-200071,1,105.4,TX
MM-7000399,2025-11-12,ML-200017,3,370.74,NJ
MM-7000400,2026-03-06,ML-200069,3,321.9,NY
MM-7000401,2025-09-01,ML-200064,4,774.76,WA
MM-7000402,2025-12-30,ML-200058,3,253.71,TX
MM-7000403,2025-11-13,ML-200019,4,466.16,CA
MM-7000404,2025-08-10,ML-200042,1,105.2,GA
MM-7000405,2026-03-08,ML-200040,3,240.46,WA
MM-7000406,2025-08-07,ML-200080,2,167.65,WA
MM-7000407,2025-11-13,ML-200070,2,325.1,FL
MM-7000408,2025-10-29,ML-200035,4,565.4,GA
MM-7000409,2026-05-04,ML-200048,3,520.23,WA
MM-7000410,2025-10-25,ML-200009,2,270.99,OH
MM-7000411,2025-11-22,ML-200086,4,199.74,WA
MM-7000412,2025-12-21,ML-200072,2,159.11,NY
MM-7000413,2026-05-08,ML-200023,2,304.26,IL
MM-7000414,2025-07-01,ML-200023,2,302.26,TX
MM-7000415,2025-06-01,ML-200021,2,608.45,WA
MM-7000416,2025-12-31,ML-200066,3,355.07,NY
MM-7000417,2025-11-01,ML-200013,2,161.33,IL
MM-7000418,2025-12-30,ML-200055,4,238.5,IL
MM-7000419,2025-07-12,ML-200072,4,319.6,TX
MM-7000420,2025-07-01,ML-200020,1,74.65,IL
MM-7000421,2025-11-01,ML-200014,1,94.19,GA
MM-7000422,2025-10-07,ML-200066,2,240.87,CA
MM-7000423,2025-07-12,ML-200020,4,302.5,FL
MM-7000424,2025-10-31,ML-200016,2,471.48,NY
MM-7000425,2026-05-10,ML-200023,1,156.93,PA
MM-7000426,2026-05-27,ML-200052,4,100.94,OH
MM-7000427,2026-03-05,ML-200022,4,456.6,CA
MM-7000428,2025-10-25,ML-200053,4,1054.27,OH
MM-7000429,2025-09-08,ML-200008,2,35.54,NJ
MM-7000430,2026-05-02,ML-200038,4,431.75,NJ
MM-7000431,2026-01-06,ML-200056,4,944.19,FL
MM-7000432,2026-04-19,ML-200089,1,104.33,WA
MM-7000433,2026-04-29,ML-200067,3,304.16,PA
MM-7000434,2025-07-07,ML-200064,1,194.46,OH
MM-7000435,2025-12-05,ML-200034,3,114.83,OH
MM-7000436,2025-10-10,ML-200062,3,214.31,PA
MM-7000437,2025-10-13,ML-200021,2,608.5,PA
MM-7000438,2025-10-21,ML-200095,2,102.53,CA
MM-7000439,2025-10-16,ML-200011,2,388.3,NJ
MM-7000440,2025-06-03,ML-200019,3,359.21,NY
MM-7000441,2026-01-25,ML-200006,1,16.2,PA
MM-7000442,2026-05-16,ML-200078,2,319.66,GA
MM-7000443,2025-07-26,ML-200092,3,876.19,GA
MM-7000444,2025-11-15,ML-200012,2,271.66,NY
MM-7000445,2025-07-03,ML-200029,2,39.72,WA
MM-7000446,2026-03-28,ML-200076,2,153.18,PA
MM-7000447,2026-04-07,ML-200072,1,78.67,GA
MM-7000448,2025-08-02,ML-200062,4,282.75,NJ
MM-7000449,2026-01-27,ML-200031,1,30.53,NY
MM-7000450,2026-03-10,ML-200078,4,650.53,PA
MM-7000451,2025-07-12,ML-200091,4,2429.92,PA
MM-7000452,2025-06-27,ML-200088,1,174.44,NY
MM-7000453,2026-03-01,ML-200026,4,1099.3,CA
MM-7000454,2025-10-03,ML-200083,4,173.16,FL
MM-7000455,2025-06-09,ML-200041,4,768.62,OH
MM-7000456,2025-11-30,ML-200086,1,50.91,CA
MM-7000457,2026-04-05,ML-200076,3,230.44,NJ
MM-7000458,2026-03-25,ML-200039,4,164.82,IL
MM-7000459,2025-10-02,ML-200035,1,138.6,FL
MM-7000460,2026-02-25,ML-200079,3,147.65,NJ
MM-7000461,2025-06-07,ML-200091,3,1854.16,IL
MM-7000462,2025-10-25,ML-200072,4,317.83,GA
MM-7000463,2025-09-25,ML-200036,3,103.46,TX
MM-7000464,2025-10-21,ML-200020,1,77.04,NJ
MM-7000465,2025-08-20,ML-200049,2,668.63,CA
MM-7000466,2025-06-20,ML-200030,1,109.52,NJ
MM-7000467,2025-07-05,ML-200055,2,118.25,IL
MM-7000468,2025-09-01,ML-200007,1,203.59,FL
MM-7000469,2026-03-13,ML-200031,4,126.56,NY
MM-7000470,2026-01-20,ML-200036,4,138.24,OH
MM-7000471,2025-09-06,ML-200080,3,239.49,CA
MM-7000472,2026-03-14,ML-200075,1,144.93,PA
MM-7000473,2025-10-12,ML-200041,3,580.1,OH
MM-7000474,2025-12-29,ML-200039,4,168.63,WA
MM-7000475,2026-01-30,ML-200035,2,277.7,NJ
MM-7000476,2025-08-13,ML-200045,1,103.61,PA
MM-7000477,2026-03-15,ML-200024,2,55.16,TX
MM-7000478,2025-08-06,ML-200022,2,234.04,TX
