ticketId,createdAt,closedAt,productRef,categoryId,priority,status,channel
HD-00063,2025-08-29T17:50:46,2025-09-01T18:50:46,Sterling Flange Bolt M12 x 80mm,2,high,closed,email
HD-00064,2026-02-17T10:00:36,2026-02-20T11:00:36,Titan Rocker Switch 20A,3,normal,closed,email
HD-00065,2026-05-12T11:37:06,,Titan Rocker Switch 20A,1,high,open,web
HD-00066,2025-12-01T09:28:06,2025-12-07T03:28:06,Atlas Cat6 Ethernet Cable 305m Reel,4,low,closed,email
HD-00067,2025-08-06T16:13:48,2025-08-08T11:13:48,Titan Hydraulic Rod Seal Assorted 200pc,3,high,closed,email
HD-00068,2026-04-12T17:49:45,,Titan Rocker Switch 20A,4,low,open,email
HD-00069,2025-08-17T15:13:29,2025-08-24T22:13:29,Titan Carriage Bolt 1/4in x 1in,1,normal,closed,web
HD-00070,2025-07-24T17:56:43,2025-07-27T00:56:43,Titan Stretch Wrap 18in 1500ft,3,high,closed,web
HD-00071,2025-11-29T17:09:11,2025-12-04T14:09:11,,4,normal,closed,email
HD-00072,2026-04-04T10:32:52,,Titan Solenoid Valve 1in,4,normal,open,web
HD-00073,2026-03-14T11:43:21,,Titan Solenoid Valve 1in,4,high,open,email
HD-00074,2025-11-05T13:48:11,,Vanguard Suction Hose 3/4in x 12m,1,normal,open,email
HD-00075,2026-03-26T14:53:39,2026-03-29T01:53:39,Titan Rocker Switch 20A,1,urgent,closed,web
HD-00076,2026-02-13T11:17:03,2026-02-19T20:17:03,Titan Rocker Switch 20A,2,normal,closed,web
HD-00077,2026-04-27T08:24:46,2026-04-29T00:24:46,,3,normal,closed,email
HD-00078,2026-04-17T18:36:30,2026-04-18T19:36:30,Vanguard Hex Bolt 1/4in x 1in,4,normal,closed,phone
HD-00079,2026-01-08T11:18:05,2026-01-10T05:18:05,Sterling Self-Tapping Screw M5 x 25mm,3,normal,closed,phone
HD-00080,2026-04-30T12:54:09,,Titan Rocker Switch 20A,1,high,open,web
HD-00081,2025-08-03T15:04:50,2025-08-09T20:04:50,Atlas Stringer Pallet 1100x1100mm,5,high,closed,web
HD-00082,2026-01-19T17:00:12,2026-01-24T20:00:12,Sterling Safety Goggles Clear,4,normal,closed,email
HD-00083,2025-12-21T17:22:05,2025-12-24T11:22:05,Sterling Nestable Pallet 1200x800mm,2,normal,closed,phone
HD-00084,2025-12-12T15:21:57,2025-12-12T18:21:57,Vanguard Gasket Set Assorted 200pc,4,high,closed,phone
HD-00085,2025-10-17T10:40:14,2025-10-25T19:40:14,Atlas Shaft Seal 35x52x7,1,normal,closed,phone
HD-00086,2026-02-06T18:46:00,2026-02-12T10:46:00,Vanguard IEC Power Connector 8-pin,3,low,closed,phone
HD-00087,2026-05-07T11:54:08,2026-05-11T23:54:08,Titan Rocker Switch 20A,1,low,closed,phone
HD-00088,2026-03-05T15:25:38,2026-03-10T10:25:38,Titan Solenoid Valve 1in,2,urgent,closed,phone
HD-00089,2026-05-17T15:49:48,2026-05-19T05:49:48,Sterling Shrink Film 2mil 10ft,5,high,closed,email
HD-00090,2026-02-22T13:04:57,2026-03-03T08:04:57,Titan Rocker Switch 20A,5,normal,closed,email
HD-00091,2025-07-08T18:13:09,2025-07-16T21:13:09,Titan RJ45 Connector 12-pos,4,normal,closed,web
HD-00092,2026-05-09T10:14:33,2026-05-17T02:14:33,Titan Solenoid Vlave 1in,1,low,closed,email
HD-00093,2026-05-04T08:59:32,2026-05-10T07:59:32,Sterling Rocker Switch 15A,6,low,closed,phone
HD-00094,2026-04-26T08:35:54,,Titan Rocker Switch 20A,3,normal,open,web
HD-00095,2026-02-27T10:20:37,2026-02-28T23:20:37,Titan Rocker Switch 20A,1,high,closed,web
HD-00096,2026-02-16T10:24:38,2026-02-17T22:24:38,Titan Solenoid Valve 1in,1,low,closed,web
HD-00097,2025-12-05T12:39:02,2025-12-09T00:39:02,,4,normal,closed,web
HD-00098,2025-10-03T09:50:40,2025-10-05T02:50:40,Atlas O-Ring Kit 35x52x7,5,urgent,closed,phone
HD-00099,2026-04-30T11:38:05,2026-05-02T03:38:05,Titan Solenoid Valve 1ni,3,high,closed,web
HD-00100,2026-03-05T16:08:50,2026-03-07T10:08:50,Titan Solenoid Valve 1in,2,low,closed,phone
HD-00101,2026-04-29T13:52:34,,Titan Rocker Switch 20A,1,low,open,web
HD-00102,2026-03-01T13:29:23,,Titan Solenoid Valve 1in,1,normal,open,web
HD-00103,2025-11-10T11:05:55,2025-11-17T11:05:55,Atlas Full Brim Hard Hat Class E,2,normal,closed,email
HD-00104,2026-05-28T15:27:53,,Titan Solenoid Valve 1in,2,normal,open,email
HD-00105,2026-03-15T16:11:19,2026-03-19T15:11:19,Titan Solenoid Valve 1in,1,low,closed,email
HD-00106,2026-05-28T14:13:15,2026-06-04T22:13:15,Titan Solenoid Valve 1in,1,urgent,closed,email
HD-00107,2026-04-13T13:30:31,2026-04-15T20:30:31,Titan Solenoid Valve 1in,5,low,closed,email
HD-00108,2025-10-19T13:32:54,2025-10-21T10:32:54,Vanguard Poly Sheeting 18in 1500ft,2,normal,closed,email
HD-00109,2025-06-25T16:58:49,2025-06-27T20:58:49,Meridian Stringer Pallet Block 48x48in,3,urgent,closed,web
HD-00110,2026-03-11T17:31:04,2026-03-12T21:31:04,Atlas Gasket Set PTFE 25pc,4,normal,closed,email
HD-00111,2026-03-26T16:59:25,2026-03-28T12:59:25,Titan Rocker Switch 20A,1,low,closed,phone
HD-00112,2025-10-17T09:14:15,2025-10-21T05:14:15,Vanguard Vented Safety Helmet Ratchet,3,high,closed,phone
HD-00113,2026-02-22T09:29:55,,Titan Solenoid Valve 1in,1,high,open,email
HD-00114,2025-09-01T17:02:33,2025-09-11T04:02:33,Titan Hydraulic Hose R2 1/2in x 15m,4,low,closed,email
HD-00115,2026-05-01T18:10:45,2026-05-04T14:10:45,Titan Solenoid Valve 1in,1,normal,closed,web
HD-00116,2026-05-22T15:02:00,,Titan Solenoid Valve 1in,1,high,open,email
HD-00117,2026-01-03T17:21:10,2026-01-13T07:21:10,,3,high,closed,email
HD-00118,2026-03-18T10:13:11,2026-03-27T15:13:11,Titan Solenoid Valve 1in,5,low,closed,phone
HD-00119,2025-12-13T12:15:17,2025-12-18T14:15:17,Vanguard Hex Bolt 14/in x 1in,1,urgent,closed,phone
HD-00120,2026-02-15T17:30:24,2026-02-24T00:30:24,Vanguard Gasket Set 35x52x7,3,normal,closed,email
HD-00121,2026-05-29T17:54:14,,Titan Rocker Switch 20A,1,normal,open,phone
HD-00122,2025-08-12T14:56:29,2025-08-19T20:56:29,,5,high,closed,email
HD-00123,2026-02-22T16:50:02,2026-02-23T14:50:02,Meridian Full Brim Hard Hat Class G Blue,3,low,closed,web
HD-00124,2026-02-18T16:21:34,,Titan Solenoid Valve 1in,2,low,open,email
HD-00125,2026-04-25T12:26:08,,Titan Solenoid Valve 1in,3,low,open,email
HD-00126,2026-03-24T09:07:52,2026-03-27T14:07:52,,1,low,closed,email
HD-00127,2026-02-04T12:21:19,2026-02-12T22:21:19,Vanguard Concrete Screw 5/8in x 5in,6,low,closed,web
HD-00128,2025-07-18T12:21:26,2025-07-22T21:21:26,Sterling Safety Goggles Clear,1,low,closed,email
HD-00129,2026-01-22T16:52:32,,Meridian DIN Contactor Roller Lever,5,low,open,web
HD-00130,2026-04-07T15:19:18,,Titan Rocker Switch 20A,3,normal,open,email
HD-00131,2025-08-31T08:12:12,2025-09-05T19:12:12,Titan Cat6 Ethernet Cable 16 AWG 500ft,4,normal,closed,phone
HD-00132,2025-06-15T08:00:02,2025-06-16T11:00:02,Vanguard Suction Hose 3/4in x 12m,2,normal,closed,phone
HD-00133,2025-07-25T11:59:01,2025-07-25T17:59:01,Titan THHN Wire 12 AWG 10f0t,2,normal,closed,email
HD-00134,2025-07-04T16:21:55,2025-07-12T03:21:55,Vanguard Self-Tapping Screw #8 x 1in,6,normal,closed,email
HD-00135,2025-10-01T12:54:27,2025-10-04T09:54:27,Atlas DIN Contactor 15A,5,normal,closed,email
HD-00136,2026-04-19T16:12:35,2026-04-27T19:12:35,Titan Solenoid Valve 1in,1,urgent,closed,phone
HD-00137,2026-03-22T17:33:27,2026-03-31T15:33:27,Meridian Heavy-Duty Carton 18x18x16in,3,normal,closed,phone
HD-00138,2026-05-19T08:21:27,2026-05-24T09:21:27,Titan Rocker Switch 20A,1,low,closed,email
HD-00139,2026-03-25T17:22:03,,Titan Rocker Switch 20A,4,low,open,email
HD-00140,2026-05-09T18:26:54,,Titan Rocer Switch 20A,1,normal,open,email
HD-00141,2025-12-06T11:46:43,2025-12-08T12:46:43,Atlas Drop-In Anchor M8,2,normal,closed,web
HD-00142,2026-05-27T17:05:09,2026-05-30T05:05:09,Titan Safety Goggles Wraparound,6,normal,closed,web
HD-00143,2025-10-01T15:37:00,2025-10-07T02:37:00,Sterling Cut-Resistant Gloves Box 100 (M),1,low,closed,email
HD-00144,2026-01-02T18:31:02,2026-01-11T21:31:02,Vanguard Vented Safety Helmet Ratchet,2,low,closed,web
HD-00145,2026-03-31T12:02:53,,Vanguard Vented Safety Helmet Ratchet,3,urgent,open,email
HD-00146,2025-07-18T11:37:16,2025-07-26T20:37:16,Atlas Stretch Wrap 24in Roll,6,low,closed,email
HD-00147,2026-03-22T16:07:33,2026-03-30T10:07:33,Titan Rocker Switch 20A,1,normal,closed,web
HD-00148,2026-03-17T10:10:39,2026-03-20T06:10:39,Titan Rocker Switch 20A,3,normal,closed,email
HD-00149,2026-01-18T15:58:45,2026-01-24T19:58:45,Titan Hydraulic Rod Seal Assorted 200pc,5,normal,closed,email
HD-00150,2026-05-16T13:41:59,2026-05-21T18:41:59,Titan Rocker Switch 20A,1,low,closed,web
HD-00151,2025-10-31T15:51:51,2025-10-31T22:51:51,Titan Cat6 Ethernet Cable 16 AWG 500ft,3,low,closed,email
HD-00152,2026-04-15T09:10:40,2026-04-17T06:10:40,Vanguard Wedge Anchor M12,2,normal,closed,phone
HD-00153,2025-06-29T12:16:19,2025-07-06T09:16:19,Vanguard Self-Tapping Screw #8 x 1in,2,low,closed,web
HD-00154,2026-02-03T08:26:46,2026-02-04T10:26:46,Atlas Cat6 Ethernet Cable 305m Reel,4,low,closed,web
HD-00155,2025-11-10T10:10:24,,Sterling Stretch Wrap 20in 5000ft,1,low,open,phone
HD-00156,2026-03-21T16:04:37,2026-03-27T11:04:37,Sterling Wood cSrew M4 x 20mm,5,low,closed,web
HD-00157,2026-03-20T11:14:35,,Titan Solenoid Valve 1in,1,normal,open,email
HD-00158,2026-05-12T18:43:33,2026-05-13T03:43:33,Sterling Termnal Block 8-pin,4,normal,closed,phone
HD-00159,2025-08-01T09:27:11,2025-08-06T06:27:11,Atlas Machine Screw M4 x 20mm,5,high,closed,email
HD-00160,2025-12-08T10:21:50,2025-12-14T21:21:50,Vanguard Gasket Set 35x52x7,1,normal,closed,web
HD-00161,2026-01-24T12:28:58,2026-01-29T14:28:58,Vanguard Heavy-Duty Carton 20x20x20in,4,urgent,closed,web
HD-00162,2025-12-17T13:26:53,,Atlas IEC Power Connector 4-pos,1,high,open,web
HD-00163,2026-03-09T09:00:40,2026-03-10T14:00:40,Sterling Nitrile Gloves Pair (M),2,normal,closed,web
HD-00164,2025-08-13T13:46:34,2025-08-21T12:46:34,Atlas IEC Power Connector 4-pos,3,normal,closed,web
HD-00165,2025-08-02T09:59:55,2025-08-11T15:59:55,Titan THHN Wire 12 AWG 100ft,2,normal,closed,phone
HD-00166,2026-02-24T08:25:24,,Titan Solenoid Valve 1in,1,high,open,email
HD-00167,2026-02-13T12:16:07,2026-02-17T20:16:07,Meridian Shaft Seal 45x65x10,3,low,closed,email
HD-00168,2026-02-16T10:20:36,2026-02-26T07:20:36,Sterling Cut-Resistant Gloves Box 100 (M),3,normal,closed,email
HD-00169,2026-02-15T17:39:42,2026-02-17T21:39:42,Vanguard Hex Bolt M12 x 80mm,4,high,closed,email
HD-00170,2026-01-11T18:44:58,2026-01-18T18:44:58,Atlas O-Ring Kit 45x65x10,2,high,closed,email
HD-00171,2026-03-01T18:39:04,2026-03-09T14:39:04,Titan Solenoid Valve 1in,4,high,closed,web
HD-00172,2026-04-10T14:22:58,2026-04-15T22:22:58,Titan Rocker Switch 20A,4,low,closed,phone
HD-00173,2026-02-22T10:07:55,,Titan Solenoid Valve 1in,1,low,open,web
HD-00174,2025-06-05T08:02:58,2025-06-15T03:02:58,Titan Carriage Bolt 1/4in x 1in,6,normal,closed,web
HD-00175,2026-05-06T12:11:58,2026-05-09T23:11:58,Vanguard Flange Bolt M10 x 60mm,2,normal,closed,email
HD-00176,2026-02-15T16:45:18,2026-02-18T04:45:18,Titan Rocker Switch 20A,4,high,closed,email
HD-00177,2025-10-10T17:35:24,2025-10-13T12:35:24,Meridian Shaft Seal 45x65x10,4,low,closed,email
HD-00178,2025-08-31T10:13:15,2025-09-08T16:13:15,Titan Toggle Switch 25A 3-pole,1,normal,closed,phone
HD-00179,2025-08-28T18:34:25,2025-09-03T12:34:25,Titan SAE Hydraulic Hose 1/2in x 15m,5,normal,closed,email
HD-00180,2026-05-22T11:12:49,2026-05-25T06:12:49,Titan Solenoid Valve 1in,1,urgent,closed,email
HD-00181,2026-03-19T16:19:43,2026-03-25T20:19:43,Titan Solenoid Valve 1in,1,high,closed,email
HD-00182,2025-10-26T08:14:44,2025-11-04T17:14:44,Sterling Stretch Wrap 20in 5000ft,2,low,closed,phone
HD-00183,2026-04-13T10:03:19,2026-04-21T11:03:19,Titan Solenoid Valve 1in,1,low,closed,email
HD-00184,2026-03-11T12:05:42,,,1,high,open,email
HD-00185,2025-11-07T16:42:29,2025-11-14T14:42:29,Sterling Sleeve Anchor M12,1,low,closed,email
HD-00186,2025-08-24T18:53:09,2025-09-03T03:53:09,Atlas Cat6 Ethernet Cable 305m Reel,1,normal,closed,email
HD-00187,2026-05-14T13:11:02,,Titan Rocker Switch 20A,1,urgent,open,web
HD-00188,2026-02-19T16:08:36,,Titan Solenoid Valve 1in,1,low,open,web
HD-00189,2025-09-18T17:03:26,2025-09-19T03:03:26,Titan Rocker Switch 30A 2-pole,2,normal,closed,phone
HD-00190,2026-05-06T10:01:41,2026-05-06T18:01:41,Sterling Shrink Film 2mil 10ft,5,normal,closed,phone
HD-00191,2025-11-21T13:34:01,2025-11-22T21:34:01,Titan Leather Work Golves Pair (L),4,normal,closed,email
HD-00192,2025-12-10T13:56:46,2025-12-11T02:56:46,Titan THHN Wire 12 AWG 100ft,1,normal,closed,web
HD-00193,2026-04-08T10:08:57,2026-04-10T06:08:57,Titan IEC Power Connector 12-pos,5,normal,closed,email
HD-00194,2026-04-04T10:18:49,2026-04-08T11:18:49,Titan Rocker Switch 20A,1,normal,closed,web
HD-00195,2026-02-02T10:09:41,2026-02-11T16:09:41,Vanguard Hex Bolt 1/4in x 1in,4,normal,closed,phone
HD-00196,2026-04-16T12:14:53,,Titan Solenoid Valve 1in,1,normal,open,web
HD-00197,2025-11-23T14:43:23,2025-11-26T09:43:23,Meridian Shaft Seal 45x65x10,3,normal,closed,web
HD-00198,2026-05-20T13:01:13,,Titan Leather Work Gloves Pair (L),1,normal,open,phone
HD-00199,2026-02-02T08:27:32,2026-02-06T20:27:32,Sterling Self-Tapping Screw M5 x 25mm,4,normal,closed,web
HD-00200,2025-07-26T13:34:52,2025-08-04T13:34:52,Titan Leather Work Gloves Pair (L),2,low,closed,web
HD-00201,2026-03-25T13:18:11,2026-03-26T03:18:11,Titan Solenoid Valve 1in,1,low,closed,web
HD-00202,2026-03-26T08:12:17,2026-03-29T08:12:17,Meridian Cut-Resistant Gloves Pair (XL),4,high,closed,phone
HD-00203,2025-12-22T10:42:12,2025-12-25T22:42:12,Vanguard Brass Ball Valve 1in,4,high,closed,email
HD-00204,2026-04-27T16:55:13,2026-05-06T02:55:13,Titan Rocker Switch 20A,1,urgent,closed,phone
HD-00205,2026-03-11T13:42:36,,Titan Rocker Switch 20A,3,normal,open,email
HD-00206,2025-06-04T11:48:18,2025-06-12T02:48:18,Titan IEC Power Connector 12-pos,2,low,closed,email
HD-00207,2026-02-21T08:42:45,2026-02-24T07:42:45,Titan Solenoid Valve 1in,5,low,closed,email
HD-00208,2026-03-26T17:58:13,2026-03-28T14:58:13,Titan Rocker Switch 20A,3,high,closed,phone
HD-00209,2026-05-16T13:34:11,2026-05-20T01:34:11,Titan Rocker Switch 20A,1,urgent,closed,email
HD-00210,2025-09-07T18:40:06,2025-09-14T04:40:06,Titan Coaxial Cable 16 AWG 500ft,1,low,closed,email
HD-00211,2025-10-26T13:22:16,2025-11-04T11:22:16,Vanguard Plastic Euro Pallet 42x42in,3,low,closed,web
HD-00212,2025-07-19T08:48:17,2025-07-26T18:48:17,Sterling Hydraulic Hose R2 3/8in x 10m,4,high,closed,phone
HD-00213,2025-09-06T08:21:02,2025-09-09T17:21:02,Atlas Drop-In Anchor M8,2,high,closed,email
HD-00214,2026-05-26T18:38:14,,Meridian O-Ring Kit FKM Viton,1,urgent,open,email
HD-00215,2026-05-02T17:29:19,2026-05-04T11:29:19,Sterling Leather Work Gloves Box 100 (L),2,normal,closed,web
HD-00216,2026-05-17T10:59:01,2026-05-18T20:59:01,Sterling Self-Tapping Screw M5 x 25mm,2,normal,closed,web
HD-00217,2026-02-28T10:08:02,2026-02-28T19:08:02,Sterling Hydraulic Hose R2 3/8in x 10m,4,low,closed,email
HD-00218,2026-04-08T12:44:11,2026-04-13T13:44:11,Titan Solenoid Valve 1in,1,low,closed,phone
HD-00219,2026-04-05T13:40:06,2026-04-07T09:40:06,Titan Leather Work Gloves Pair (L),2,normal,closed,email
HD-00220,2025-08-28T09:07:36,2025-09-04T13:07:36,Titan Cat6 Ethernet Cable 16 AWG 500ft,3,normal,closed,web
HD-00221,2025-11-18T17:10:02,2025-11-22T15:10:02,Sterling Gate Valve 3/4in,4,normal,closed,email
HD-00222,2026-02-12T16:27:23,,Titan Rocker Switch 20A,1,normal,open,phone
HD-00223,2026-04-20T11:28:42,,Titan Solenoid Valve 1in,1,normal,open,web
HD-00224,2026-04-18T15:17:36,2026-04-22T16:17:36,Titan Rocker Switch 20A,1,normal,closed,phone
HD-00225,2025-10-25T18:11:31,2025-10-28T22:11:31,Sterling Shrink Film 2mil 10ft,1,normal,closed,phone
HD-00226,2026-02-14T11:46:45,2026-02-22T05:46:45,Titan Solenoid Valve 1in,3,high,closed,email
HD-00227,2026-05-15T17:38:23,2026-05-20T00:38:23,Atlas Hydraulic Rod Seal PTFE 25pc,2,urgent,closed,phone
HD-00228,2025-09-19T11:51:54,2025-09-21T01:51:54,Sterling Terminal Block 8-pin,5,low,closed,web
HD-00229,2026-04-25T08:26:09,,Titan Rocker Switch 20A,5,normal,open,email
HD-00230,2026-04-03T13:05:06,,Titan SAE Hydraulic Hose 1/2in x 15m,2,high,open,email
HD-00231,2025-09-13T17:46:50,2025-09-21T05:46:50,Vanguard Hex Bolt M12 x 80mm,1,normal,closed,web
HD-00232,2026-02-24T16:03:56,2026-03-06T15:03:56,Titan Rocker Switch 20A,2,high,closed,web
HD-00233,2025-06-10T14:37:31,,Meridian Shaft Seal 45x65x10,4,low,open,email
HD-00234,2025-08-16T10:11:04,2025-08-25T18:11:04,Sterling Wood Screw M4 x 20mm,2,normal,closed,phone
HD-00235,2026-03-17T16:47:58,,Titan Solenoid Valve 1in,3,low,open,phone
HD-00236,2026-02-27T13:14:49,2026-03-05T13:14:49,Titan Rocker Switch 20A,1,low,closed,email
HD-00237,2025-08-17T15:25:41,2025-08-25T18:25:41,Titan Hydraulic Rod Seal Assorted 200pc,1,low,closed,email
HD-00238,2026-01-17T10:52:02,2026-01-18T15:52:02,Atlas IEC Power Connector 4-pos,2,normal,closed,email
HD-00239,2025-07-27T12:56:41,2025-07-30T20:56:41,Vanguard Gasket Set 35x52x7,5,high,closed,email
HD-00240,2026-01-26T12:40:32,2026-02-04T22:40:32,Sterling Hex Cap Srcew M6 x 30mm,5,normal,closed,email
HD-00241,2025-10-24T16:50:08,2025-11-01T10:50:08,Sterling Hydraulic Check Valve 3/4in,5,high,closed,email
HD-00242,2026-03-02T10:46:14,2026-03-10T04:46:14,Titan Rocker Switch 20A,2,normal,closed,email
HD-00243,2026-05-03T12:35:52,,Titan Rocker Switch 20A,1,normal,open,email
HD-00244,2025-06-21T16:15:54,,Titan Rocker Switch 30A 2-pole,2,urgent,open,email
HD-00245,2026-05-01T12:14:13,2026-05-10T00:14:13,,1,normal,closed,email
