ReturnId,ReturnDateKey,SalesOrderLineId,OrderId,SKU,MarketId,CustomerId,ReasonKey,QtyReturned,RefundAmountUSD
RMA-000126,20241119,5261,SO-0006705,SKU-0002,M01,C006,3,1,96.34
RMA-000127,20241218,5274,SO-0007686,SKU-0002,M01,C001,2,1,120.14
RMA-000128,20241222,5281,SO-0008138,SKU-0002,M01,C005,2,1,116.36
RMA-000129,20250428,5319,SO-0013542,SKU-0002,M01,C005,1,1,117.69
RMA-000130,20250503,5322,SO-0013947,SKU-0002,M01,C006,1,1,98.56
RMA-000131,20251226,5407,SO-0025273,SKU-0002,M01,C005,4,1,116.39
RMA-000132,20260227,5426,SO-0027511,SKU-0002,M01,C006,4,1,96.0
RMA-000133,20241031,5512,SO-0006213,SKU-0002,M02,C007,4,2,244.24
RMA-000134,20241209,5526,SO-0007648,SKU-0002,M02,C008,3,1,122.68
RMA-000135,20250727,5595,SO-0017612,SKU-0002,M02,C008,1,1,121.73
RMA-000136,20251211,5650,SO-0024421,SKU-0002,M02,C007,2,2,250.48
RMA-000137,20260204,5673,SO-0026888,SKU-0002,M02,C007,1,1,121.19
RMA-000138,20260328,5684,SO-0029204,SKU-0002,M02,C009,3,2,243.68
RMA-000139,20241213,5740,SO-0008373,SKU-0002,M03,C016,5,1,96.23
RMA-000140,20250322,5753,SO-0012704,SKU-0002,M03,C015,1,1,122.09
RMA-000141,20250505,5757,SO-0013777,SKU-0002,M03,C015,3,1,125.7
RMA-000142,20251209,5793,SO-0023663,SKU-0002,M03,C013,4,1,119.08
RMA-000143,20240612,5826,SO-0000063,SKU-0002,M04,C018,3,1,122.68
RMA-000144,20241022,5857,SO-0006135,SKU-0002,M04,C018,4,1,125.25
RMA-000145,20250128,5893,SO-0009859,SKU-0002,M04,C021,5,1,115.46
RMA-000146,20250212,5895,SO-0010352,SKU-0002,M04,C021,4,1,113.91
RMA-000147,20241201,6060,SO-0007801,SKU-0002,M05,C026,4,1,123.36
RMA-000148,20250330,6079,SO-0012891,SKU-0002,M05,C024,2,1,123.55
RMA-000149,20250402,6080,SO-0013025,SKU-0002,M05,C024,3,1,124.41
RMA-000150,20251227,6140,SO-0024572,SKU-0002,M05,C023,4,1,123.62
RMA-000151,20240807,6188,SO-0002404,SKU-0002,M06,C033,3,1,96.65
RMA-000152,20251003,6274,SO-0021304,SKU-0002,M06,C032,2,1,110.97
RMA-000153,20251224,6301,SO-0024847,SKU-0002,M06,C028,1,1,121.62
RMA-000154,20240709,6347,SO-0001292,SKU-0002,M07,C038,5,1,95.92
RMA-000155,20250306,6394,SO-0011126,SKU-0002,M07,C036,5,1,123.58
RMA-000156,20250520,6410,SO-0014603,SKU-0002,M07,C036,4,1,123.4
RMA-000157,20250719,6428,SO-0017458,SKU-0002,M07,C034,4,1,123.3
RMA-000158,20260125,6477,SO-0025930,SKU-0002,M07,C035,4,1,124.55
RMA-000159,20250410,6549,SO-0013219,SKU-0002,M08,C039,1,1,123.55
RMA-000160,20240627,6649,SO-0000762,SKU-0003,M01,C002,1,1,210.58
RMA-000161,20240807,6668,SO-0001705,SKU-0003,M01,C006,2,2,353.32
RMA-000162,20240823,6703,SO-0003401,SKU-0003,M01,C002,5,2,436.5
RMA-000163,20240902,6711,SO-0003806,SKU-0003,M01,C005,3,1,197.41
RMA-000164,20240927,6715,SO-0004026,SKU-0003,M01,C002,4,2,430.24
RMA-000165,20241128,6773,SO-0006883,SKU-0003,M01,C006,1,1,166.97
RMA-000166,20241223,6807,SO-0008408,SKU-0003,M01,C006,1,2,341.92
RMA-000167,20250308,6864,SO-0011447,SKU-0003,M01,C002,5,1,218.99
RMA-000168,20250329,6882,SO-0012470,SKU-0003,M01,C001,4,1,218.12
RMA-000169,20250630,6962,SO-0016581,SKU-0003,M01,C006,4,1,167.0
RMA-000170,20250617,6963,SO-0016623,SKU-0003,M01,C003,2,1,215.02
RMA-000171,20251124,7083,SO-0022847,SKU-0003,M01,C003,2,1,207.7
RMA-000172,20240810,7308,SO-0001844,SKU-0003,M02,C011,4,1,172.47
RMA-000173,20240929,7348,SO-0004256,SKU-0003,M02,C009,5,1,214.64
RMA-000174,20241027,7365,SO-0005326,SKU-0003,M02,C011,1,2,337.76
RMA-000175,20241220,7420,SO-0007962,SKU-0003,M02,C008,1,1,218.6
RMA-000176,20250521,7554,SO-0015606,SKU-0003,M02,C011,4,1,175.44
RMA-000177,20251014,7661,SO-0021462,SKU-0003,M02,C011,2,1,170.79
RMA-000178,20251023,7680,SO-0022403,SKU-0003,M02,C008,4,1,216.07
RMA-000179,20251203,7699,SO-0023388,SKU-0003,M02,C008,1,2,435.2
RMA-000180,20260322,7806,SO-0029071,SKU-0003,M02,C008,3,1,227.97
RMA-000181,20260429,7828,SO-0030230,SKU-0003,M02,C011,5,2,346.12
RMA-000182,20260512,7838,SO-0031030,SKU-0003,M02,C008,2,1,207.77
RMA-000183,20260609,7869,SO-0032589,SKU-0003,M02,C008,2,1,217.34
RMA-000184,20240904,7924,SO-0003772,SKU-0003,M03,C016,4,1,170.95
RMA-000185,20241118,7974,SO-0007340,SKU-0003,M03,C013,1,1,218.55
RMA-000186,20241130,7978,SO-0007521,SKU-0003,M03,C014,5,2,434.2
RMA-000187,20241217,7997,SO-0008415,SKU-0003,M03,C013,1,1,219.06
RMA-000188,20250417,8071,SO-0013778,SKU-0003,M03,C016,1,1,171.21
RMA-000189,20250511,8088,SO-0015069,SKU-0003,M03,C012,2,1,208.66
RMA-000190,20250603,8091,SO-0015204,SKU-0003,M03,C012,5,2,394.64
RMA-000191,20251225,8230,SO-0025146,SKU-0003,M03,C013,3,1,218.6
RMA-000192,20260426,8295,SO-0030008,SKU-0003,M03,C013,1,1,224.4
RMA-000193,20260411,8296,SO-0030143,SKU-0003,M03,C013,1,1,209.91
RMA-000194,20260612,8328,SO-0032595,SKU-0003,M03,C014,4,1,220.25
RMA-000195,20240826,8385,SO-0003192,SKU-0003,M04,C018,4,2,435.88
RMA-000196,20250104,8492,SO-0008690,SKU-0003,M04,C019,4,1,210.89
RMA-000197,20250124,8510,SO-0009540,SKU-0003,M04,C017,1,1,212.69
RMA-000198,20250303,8542,SO-0011955,SKU-0003,M04,C020,1,1,203.88
RMA-000199,20250323,8543,SO-0011997,SKU-0003,M04,C018,3,2,430.36
RMA-000200,20250705,8625,SO-0016996,SKU-0003,M04,C018,3,1,210.99
RMA-000201,20250723,8643,SO-0017981,SKU-0003,M04,C018,4,1,219.18
RMA-000202,20250731,8651,SO-0018383,SKU-0003,M04,C017,4,1,217.49
RMA-000203,20251130,8736,SO-0023133,SKU-0003,M04,C022,4,1,173.21
RMA-000204,20260404,8851,SO-0029704,SKU-0003,M04,C021,5,1,200.31
RMA-000205,20241020,8964,SO-0005162,SKU-0003,M05,C024,1,1,221.54
RMA-000206,20241019,8966,SO-0005249,SKU-0003,M05,C023,1,1,215.58
RMA-000207,20241118,9004,SO-0007395,SKU-0003,M05,C023,1,1,217.4
RMA-000208,20250220,9062,SO-0011291,SKU-0003,M05,C023,3,1,221.97
RMA-000209,20250422,9105,SO-0014281,SKU-0003,M05,C026,1,1,218.16
RMA-000210,20250604,9118,SO-0015127,SKU-0003,M05,C025,4,2,423.36
RMA-000211,20250707,9142,SO-0017004,SKU-0003,M05,C026,4,2,415.98
RMA-000212,20250710,9153,SO-0017583,SKU-0003,M05,C024,1,1,219.01
RMA-000213,20251116,9244,SO-0023225,SKU-0003,M05,C024,1,1,215.66
RMA-000214,20251121,9246,SO-0023406,SKU-0003,M05,C026,4,2,449.0
RMA-000215,20260129,9298,SO-0026367,SKU-0003,M05,C025,5,1,210.68
RMA-000216,20260327,9336,SO-0028998,SKU-0003,M05,C025,4,1,221.59
RMA-000217,20260415,9356,SO-0030110,SKU-0003,M05,C025,1,2,444.86
RMA-000218,20260602,9391,SO-0032338,SKU-0003,M05,C026,1,1,216.95
RMA-000219,20240630,9400,SO-0000211,SKU-0003,M06,C032,3,2,421.32
RMA-000220,20241027,9500,SO-0006105,SKU-0003,M06,C032,1,1,202.86
RMA-000221,20250321,9613,SO-0012186,SKU-0003,M06,C030,3,1,227.37
RMA-000222,20250731,9706,SO-0017681,SKU-0003,M06,C032,1,2,426.28
RMA-000223,20250831,9753,SO-0020183,SKU-0003,M06,C032,4,1,207.16
RMA-000224,20250924,9754,SO-0020362,SKU-0003,M06,C031,2,1,204.94
RMA-000225,20251113,9790,SO-0022513,SKU-0003,M06,C028,4,1,215.72
RMA-000226,20251125,9802,SO-0023143,SKU-0003,M06,C032,4,2,418.32
RMA-000227,20260107,9856,SO-0025791,SKU-0003,M06,C030,1,2,401.26
RMA-000228,20260220,9879,SO-0027493,SKU-0003,M06,C033,2,2,337.0
RMA-000229,20260623,9956,SO-0032611,SKU-0003,M06,C031,2,1,208.44
RMA-000230,20240714,9977,SO-0001422,SKU-0003,M07,C035,2,1,215.32
RMA-000231,20240830,10017,SO-0003792,SKU-0003,M07,C036,4,1,218.97
RMA-000232,20241011,10036,SO-0004911,SKU-0003,M07,C038,2,1,175.72
RMA-000233,20241005,10041,SO-0005174,SKU-0003,M07,C036,4,1,220.36
RMA-000234,20250908,10292,SO-0019878,SKU-0003,M07,C038,1,2,338.32
RMA-000235,20251017,10316,SO-0021218,SKU-0003,M07,C035,4,2,438.24
RMA-000236,20251020,10324,SO-0021756,SKU-0003,M07,C035,5,1,218.85
RMA-000237,20251125,10368,SO-0023911,SKU-0003,M07,C036,3,1,214.74
RMA-000238,20260221,10427,SO-0026916,SKU-0003,M07,C035,4,1,213.12
RMA-000239,20260213,10431,SO-0027139,SKU-0003,M07,C035,4,2,429.34
RMA-000240,20260308,10445,SO-0028073,SKU-0003,M07,C034,4,1,220.6
RMA-000241,20260424,10469,SO-0029718,SKU-0003,M07,C035,4,1,222.35
RMA-000242,20260604,10507,SO-0031901,SKU-0003,M07,C035,3,1,210.95
RMA-000243,20240828,10561,SO-0003484,SKU-0003,M08,C040,3,1,217.21
RMA-000244,20240923,10566,SO-0003843,SKU-0003,M08,C042,2,1,223.22
RMA-000245,20241106,10602,SO-0006561,SKU-0003,M08,C042,2,1,217.07
RMA-000246,20241106,10608,SO-0006874,SKU-0003,M08,C042,3,1,221.6
RMA-000247,20241120,10613,SO-0007186,SKU-0003,M08,C039,4,1,220.44
RMA-000248,20250124,10659,SO-0009968,SKU-0003,M08,C040,1,2,438.52
RMA-000249,20250618,10756,SO-0016844,SKU-0003,M08,C044,3,1,171.07
RMA-000250,20250711,10773,SO-0017736,SKU-0003,M08,C043,4,1,208.27
RMA-000251,20250723,10779,SO-0018187,SKU-0003,M08,C044,3,1,166.97
RMA-000252,20250810,10795,SO-0019026,SKU-0003,M08,C040,4,1,218.17
RMA-000253,20250915,10808,SO-0019883,SKU-0003,M08,C043,2,1,201.52
RMA-000254,20251129,10867,SO-0023739,SKU-0003,M08,C044,5,1,171.01
RMA-000255,20260106,10886,SO-0024904,SKU-0003,M08,C040,3,2,437.5
RMA-000256,20260515,10978,SO-0031462,SKU-0003,M08,C044,3,1,163.94
RMA-000257,20241110,11008,SO-0007014,SKU-0004,M01,C002,2,1,96.65
RMA-000258,20240707,11082,SO-0000277,SKU-0004,M02,C008,4,1,97.02
RMA-000259,20240905,11093,SO-0003453,SKU-0004,M02,C009,5,1,94.59
RMA-000260,20250508,11181,SO-0014534,SKU-0004,M03,C012,5,1,88.6
RMA-000261,20251210,11191,SO-0023756,SKU-0004,M03,C016,1,1,75.01
RMA-000262,20260521,11199,SO-0031700,SKU-0004,M03,C012,1,1,92.65
RMA-000263,20251121,11246,SO-0022998,SKU-0004,M04,C021,1,1,88.62
RMA-000264,20260527,11259,SO-0031793,SKU-0004,M04,C017,4,1,91.07
RMA-000265,20241231,11336,SO-0008387,SKU-0004,M06,C030,4,1,95.83
RMA-000266,20260227,11376,SO-0027181,SKU-0004,M06,C033,3,1,76.73
RMA-000267,20240615,11497,SO-0000315,SKU-0005,M01,C002,1,2,553.36
RMA-000268,20240709,11519,SO-0001437,SKU-0005,M01,C005,3,1,270.65
RMA-000269,20240725,11525,SO-0001746,SKU-0005,M01,C002,5,2,571.62
RMA-000270,20240903,11561,SO-0003713,SKU-0005,M01,C002,4,1,279.95
RMA-000271,20240908,11565,SO-0003935,SKU-0005,M01,C001,4,2,577.14
RMA-000272,20240925,11576,SO-0004518,SKU-0005,M01,C002,2,1,290.53
RMA-000273,20240926,11577,SO-0004564,SKU-0005,M01,C005,4,1,271.73
RMA-000274,20241023,11597,SO-0005633,SKU-0005,M01,C006,5,1,223.61
RMA-000275,20250220,11704,SO-0010780,SKU-0005,M01,C002,3,1,284.67
RMA-000276,20250318,11738,SO-0012649,SKU-0005,M01,C005,1,2,548.88
RMA-000277,20250420,11756,SO-0013585,SKU-0005,M01,C003,1,2,583.48
RMA-000278,20250516,11788,SO-0015283,SKU-0005,M01,C002,1,1,281.71
RMA-000279,20250603,11789,SO-0015331,SKU-0005,M01,C005,5,2,534.6
RMA-000280,20250606,11794,SO-0015644,SKU-0005,M01,C005,5,1,263.55
RMA-000281,20250827,11862,SO-0019077,SKU-0005,M01,C001,2,2,570.28
RMA-000282,20250913,11888,SO-0020511,SKU-0005,M01,C001,2,1,275.68
RMA-000283,20251001,11905,SO-0021364,SKU-0005,M01,C003,1,1,278.91
RMA-000284,20260115,11986,SO-0025313,SKU-0005,M01,C001,2,2,577.14
RMA-000285,20260120,11999,SO-0025897,SKU-0005,M01,C002,3,1,278.94
RMA-000286,20260418,12067,SO-0029331,SKU-0005,M01,C003,4,2,579.76
RMA-000287,20260404,12073,SO-0029689,SKU-0005,M01,C006,5,1,217.94
RMA-000288,20260530,12116,SO-0031778,SKU-0005,M01,C002,3,2,570.48
RMA-000289,20240819,12172,SO-0002334,SKU-0005,M02,C008,1,1,283.73
RMA-000290,20240909,12189,SO-0003365,SKU-0005,M02,C011,3,1,226.79
RMA-000291,20240903,12194,SO-0003675,SKU-0005,M02,C009,1,1,275.48
RMA-000292,20241002,12212,SO-0004567,SKU-0005,M02,C008,4,1,289.98
RMA-000293,20241024,12232,SO-0005681,SKU-0005,M02,C010,1,1,269.23
RMA-000294,20241125,12271,SO-0007693,SKU-0005,M02,C008,3,1,283.66
RMA-000295,20241215,12285,SO-0008365,SKU-0005,M02,C008,1,1,285.67
RMA-000296,20250111,12295,SO-0008814,SKU-0005,M02,C008,4,2,563.24
RMA-000297,20250131,12317,SO-0009847,SKU-0005,M02,C009,4,2,550.38
RMA-000298,20250127,12323,SO-0010241,SKU-0005,M02,C045,2,1,224.97
RMA-000299,20250204,12332,SO-0010606,SKU-0005,M02,C007,4,2,556.68
RMA-000300,20250223,12339,SO-0011057,SKU-0005,M02,C011,2,1,224.49
RMA-000301,20250423,12382,SO-0013233,SKU-0005,M02,C008,1,2,555.34
RMA-000302,20251209,12583,SO-0024200,SKU-0005,M02,C011,1,2,450.16
RMA-000303,20260103,12594,SO-0024738,SKU-0005,M02,C009,2,2,560.84
RMA-000304,20260212,12632,SO-0026573,SKU-0005,M02,C007,5,1,273.97
RMA-000305,20260503,12707,SO-0030539,SKU-0005,M02,C008,1,1,291.89
RMA-000306,20240811,12778,SO-0002160,SKU-0005,M03,C012,1,1,261.19
RMA-000307,20241010,12817,SO-0005238,SKU-0005,M03,C012,3,2,539.12
RMA-000308,20241227,12866,SO-0008280,SKU-0005,M03,C013,1,1,292.45
RMA-000309,20250110,12874,SO-0008774,SKU-0005,M03,C013,4,1,281.43
RMA-000310,20250330,12922,SO-0012837,SKU-0005,M03,C013,1,1,285.22
RMA-000311,20250414,12932,SO-0013508,SKU-0005,M03,C016,4,1,219.79
RMA-000312,20250910,13021,SO-0019985,SKU-0005,M03,C012,5,1,271.58
RMA-000313,20251004,13044,SO-0021557,SKU-0005,M03,C016,4,1,224.73
RMA-000314,20251129,13084,SO-0023976,SKU-0005,M03,C012,4,1,267.16
RMA-000315,20240811,13250,SO-0002749,SKU-0005,M04,C021,5,1,274.97
RMA-000316,20241013,13295,SO-0005247,SKU-0005,M04,C021,4,1,267.47
RMA-000317,20241022,13299,SO-0005420,SKU-0005,M04,C018,1,1,284.73
RMA-000318,20250111,13383,SO-0009544,SKU-0005,M04,C021,2,1,265.72
RMA-000319,20250123,13390,SO-0009945,SKU-0005,M04,C017,2,1,282.09
RMA-000320,20250202,13392,SO-0010126,SKU-0005,M04,C019,1,1,278.31
RMA-000321,20250220,13408,SO-0011373,SKU-0005,M04,C017,3,1,286.48
RMA-000322,20250331,13436,SO-0012975,SKU-0005,M04,C018,5,1,280.7
RMA-000323,20250416,13442,SO-0013469,SKU-0005,M04,C021,3,1,273.55
RMA-000324,20250420,13443,SO-0013602,SKU-0005,M04,C020,5,2,528.56
RMA-000325,20250430,13445,SO-0013734,SKU-0005,M04,C017,4,1,283.4
RMA-000326,20250519,13474,SO-0015213,SKU-0005,M04,C022,3,2,440.08
RMA-000327,20250604,13475,SO-0015254,SKU-0005,M04,C018,2,2,569.68
RMA-000328,20250825,13543,SO-0019454,SKU-0005,M04,C019,4,2,546.8
RMA-000329,20250926,13571,SO-0021024,SKU-0005,M04,C021,2,2,545.14
RMA-000330,20251013,13573,SO-0021155,SKU-0005,M04,C017,5,1,274.45
